id,question,correctanswer,answera,answerb,answerc,answerd
100543,name cloud dust gas space,b,moon,nebula,eclipse,lunar regolith
100544,reliable way get unbiased results conducting controlled experiment,d,control group,try experimental group,hypothesis if incorrect,repeat procedure exactly
100545,describes pathway male sperm upon ejaculation,b,vas deferens > through seminal vesicle urethra epididymus out penis,epididymus > vas deferens through seminal vesicle urethra out penis,out penis > urethra through seminal vesicle vas deferens epididymus,epididymus > vas deferens urethra through seminal vesicle out penis
100546,according periodic table elements mercury hg metals because,b,solid room,liquid room,lighter metals,heavier metals
100547,in clear weather bright seen long distance conditions heavy fog visibility greatly reduced explains,b,refracted vapor air,scattered droplets air,absorbed vapor near ground,reflected droplets ground
100548,closed system happens total energy conversions take place,c,increases,decreases,remains constant,transferred out
100549,property vapor allows function greenhouse gas,b,vapor expands exposed sunlight,vapor absorbs reemits heat radiated,vapor changes ultraviolet radiation dioxide,vapor transmits heat solar radiation
100550,observation supports inference photosynthesis take place,c,strong sweet smell,dry rough texture,green color,smooth stem
100551,chewable calcium carbonate tablet common treatment stomach discomfort type medicine because,c,pleasant flavor,inexpensive produce,neutralizes digestive acid,occurs naturally
100552,if no longer able reproduce,c,adapt environment,become immune disease,become extinct,population
100553,meteorologists categorize hurricanes based on saffir simpson scale measures intensity destructive potential factor significant effect strength hurricane,d,initial speed hurricane,direction hurricane rotates,number hurricanes form year,below hurricane
100554,a black coat color labrador retriever dogs dominant over yellow coated male heterozygous trait crossed female result cross,d,puppies black coats,puppies yellow coats,some puppies black coats yellow spots,some puppies will black coats yellow
100555,when atom loses gains electron changes,c,atomic,atomic number,charge,element
100556,oral presentations written reports communicate information discovered through scientific usually begins,d,formulating predictions,testing hypothesis,analyzing observations,posing testable questions
100557,describes atmosphere made early photosynthetic life,a,increased level oxygen,increased level dioxide,decreased ability support life,decreased ability transmit
100558,human digestion proteins takes place primarily organs,b,mouth stomach,stomach small intestine,liver gall bladder,pancreas large intestine
100559,action often causes sinkholes form surface,a,removing groundwater,meteor impacts,plates colliding,mechanical weathering
100560,who disagree results experiment should,d,experiment,keep opinions themselves,find out think about results,repeat experiment several times compare results
100561,as meteor falls gets closer encounters resistance force must occur so overcomes,c,sum forces acting meteor needs zero,forces acting meteor must direction,force gravity needs greater resistance,resistance force must greater being applied meteor
100562,jeremiah was investigating different aspects sound waves he listened sounds had lower pitch based information wave,d,sound wave had slower speed,sound wave had smaller amplitude,sound wave had shorter wavelength,sound wave had lower frequency
100563,example community responding external factor,a,animals thrive forest floor after fall white pine causes opening canopy,many raptors fly alongside during autumn migration warmer climates,elephants tusks dig salt needed diets wall cave,adult musk oxen herd surround young protect them wolves
